,College,Funding Status,Field Of Study,Degree,5 Year Earnings,5 Year Earnings for Males,5 Year Earnings for Non-Males
0,Alabama A & M University,Public,"Business Administration, Management and Operations.",Bachelor's Degree,54650,66114,51917
1,University of Alabama at Birmingham,Public,Communication and Media Studies.,Bachelor's Degree,39661,42162,38277
2,University of Alabama at Birmingham,Public,Educational Administration and Supervision.,Master's Degree,68212,72838,67340
3,University of Alabama at Birmingham,Public,"Teacher Education and Professional Development, Specific Subject Areas.",Bachelor's Degree,47189,50319,45207
4,University of Alabama at Birmingham,Public,"Engineering, General.",Master's Degree,128054,127338,130010
5,University of Alabama at Birmingham,Public,"Biology, General.",Bachelor's Degree,55561,55221,55718
6,University of Alabama at Birmingham,Public,"Psychology, General.",Bachelor's Degree,44287,41462,44242
7,University of Alabama at Birmingham,Public,Criminal Justice and Corrections.,Bachelor's Degree,48974,61843,42946
8,University of Alabama at Birmingham,Public,Fine and Studio Arts.,Bachelor's Degree,41015,35695,42328
9,University of Alabama at Birmingham,Public,Dentistry.,First Professional Degree,171066,189225,166462
10,University of Alabama at Birmingham,Public,Advanced/Graduate Dentistry and Oral Sciences.,Graduate/Professional Certificate,245003,250971,180164
11,University of Alabama at Birmingham,Public,Health and Medical Administrative Services.,Bachelor's Degree,58386,83008,55635
12,University of Alabama at Birmingham,Public,Health and Medical Administrative Services.,Master's Degree,132670,193903,124047
13,University of Alabama at Birmingham,Public,"Allied Health Diagnostic, Intervention, and Treatment Professions.",Master's Degree,121212,134866,115150
14,University of Alabama at Birmingham,Public,Optometry.,First Professional Degree,120051,139548,116341
15,University of Alabama at Birmingham,Public,Public Health.,Master's Degree,83804,106290,79363
16,University of Alabama at Birmingham,Public,Rehabilitation and Therapeutic Professions.,Doctoral Degree,78076,92323,72760
17,University of Alabama at Birmingham,Public,"Registered Nursing, Nursing Administration, Nursing Research and Clinical Nursing.",Bachelor's Degree,84228,98509,80427
18,University of Alabama at Birmingham,Public,"Registered Nursing, Nursing Administration, Nursing Research and Clinical Nursing.",Master's Degree,116130,151028,113443
19,University of Alabama at Birmingham,Public,"Business Administration, Management and Operations.",Bachelor's Degree,62800,66116,58271
20,University of Alabama at Birmingham,Public,"Business Administration, Management and Operations.",Master's Degree,105063,96285,107291
21,University of Alabama at Birmingham,Public,Accounting and Related Services.,Bachelor's Degree,63551,66647,56622
22,University of Alabama at Birmingham,Public,Accounting and Related Services.,Master's Degree,94452,98894,87277
23,University of Alabama at Birmingham,Public,Marketing.,Bachelor's Degree,62426,78460,52163
24,University of Alabama in Huntsville,Public,"Registered Nursing, Nursing Administration, Nursing Research and Clinical Nursing.",Bachelor's Degree,70913,90160,68544
25,Alabama State University,Public,Communication and Media Studies.,Bachelor's Degree,37881,36520,39563
26,Alabama State University,Public,Criminal Justice and Corrections.,Bachelor's Degree,40621,47201,38122
27,The University of Alabama,Public,Communication and Media Studies.,Bachelor's Degree,52949,53881,49922
28,The University of Alabama,Public,Journalism.,Bachelor's Degree,56575,55743,56657
29,The University of Alabama,Public,"Radio, Television, and Digital Communication.",Bachelor's Degree,47815,37875,55448
30,The University of Alabama,Public,"Public Relations, Advertising, and Applied Communication.",Bachelor's Degree,64089,68432,62852
31,The University of Alabama,Public,Educational Administration and Supervision.,Doctoral Degree,99694,113024,90142
32,The University of Alabama,Public,"Teacher Education and Professional Development, Specific Levels and Methods.",Bachelor's Degree,48985,46993,49088
33,The University of Alabama,Public,"Teacher Education and Professional Development, Specific Subject Areas.",Bachelor's Degree,53220,58107,52703
34,The University of Alabama,Public,Chemical Engineering.,Bachelor's Degree,97080,96486,96004
35,The University of Alabama,Public,Civil Engineering.,Bachelor's Degree,86784,91067,81806
36,The University of Alabama,Public,Mechanical Engineering.,Bachelor's Degree,91807,93057,80899
37,The University of Alabama,Public,"Family and Consumer Sciences/Human Sciences, General.",Bachelor's Degree,48766,45695,48899
38,The University of Alabama,Public,"Family and Consumer Sciences/Human Sciences, General.",Master's Degree,61399,76826,59635
39,The University of Alabama,Public,Law.,First Professional Degree,100203,108468,95080
40,The University of Alabama,Public,"English Language and Literature, General.",Bachelor's Degree,44593,39498,47246
41,The University of Alabama,Public,Library Science and Administration.,Master's Degree,52284,60082,51502
42,The University of Alabama,Public,"Multi-/Interdisciplinary Studies, General.",Bachelor's Degree,52664,58952,47593
43,The University of Alabama,Public,"Psychology, General.",Bachelor's Degree,47796,43808,48584
44,The University of Alabama,Public,Criminal Justice and Corrections.,Bachelor's Degree,55350,60114,49271
45,The University of Alabama,Public,Social Work.,Master's Degree,53526,53384,53490
46,The University of Alabama,Public,Political Science and Government.,Bachelor's Degree,61049,59113,71023
47,The University of Alabama,Public,Fine and Studio Arts.,Bachelor's Degree,45258,61203,39726
48,The University of Alabama,Public,"Registered Nursing, Nursing Administration, Nursing Research and Clinical Nursing.",Bachelor's Degree,80311,112167,75414
49,The University of Alabama,Public,"Business Administration, Management and Operations.",Bachelor's Degree,69113,72045,62457
50,The University of Alabama,Public,"Business Administration, Management and Operations.",Master's Degree,114582,124952,94047
51,The University of Alabama,Public,Accounting and Related Services.,Bachelor's Degree,79435,81938,77830
52,The University of Alabama,Public,Accounting and Related Services.,Master's Degree,92319,107755,89308
53,The University of Alabama,Public,Finance and Financial Management Services.,Bachelor's Degree,84758,85325,80547
54,The University of Alabama,Public,Hospitality Administration/Management.,Bachelor's Degree,52250,51720,52436
55,The University of Alabama,Public,Management Information Systems and Services.,Bachelor's Degree,110434,113046,104974
56,The University of Alabama,Public,Management Sciences and Quantitative Methods.,Bachelor's Degree,79720,82989,67348
57,The University of Alabama,Public,Marketing.,Bachelor's Degree,80393,89448,69844
58,The University of Alabama,Public,Marketing.,Master's Degree,61440,62442,62037
59,The University of Alabama,Public,History.,Bachelor's Degree,56524,56759,48737
60,Central Alabama Community College,Public,"Liberal Arts and Sciences, General Studies and Humanities.",Associate's Degree,42233,43964,35388
61,Athens State University,Public,"Business Administration, Management and Operations.",Bachelor's Degree,61403,65559,59365
62,Athens State University,Public,Accounting and Related Services.,Bachelor's Degree,61742,68966,61470
63,Athens State University,Public,"Business, Management, Marketing, and Related Support Services, Other.",Bachelor's Degree,70242,86657,43902
64,Auburn University at Montgomery,Public,"Business/Commerce, General.",Master's Degree,93777,108376,69148
65,Auburn University,Public,Animal Sciences.,Bachelor's Degree,66404,73590,56613
66,Auburn University,Public,Veterinary Medicine.,First Professional Degree,120989,125378,119748
67,Auburn University,Public,Architecture.,Bachelor's Degree,75187,73041,76625
68,Auburn University,Public,Communication and Media Studies.,Bachelor's Degree,62643,54393,69185
69,Auburn University,Public,"Teacher Education and Professional Development, Specific Subject Areas.",Bachelor's Degree,52004,55322,50210
70,Auburn University,Public,"Teacher Education and Professional Development, Specific Subject Areas.",Master's Degree,63575,70386,59520
71,Auburn University,Public,Mechanical Engineering.,Bachelor's Degree,91940,93094,91440
72,Auburn University,Public,Industrial Engineering.,Bachelor's Degree,96383,92987,99507
73,Auburn University,Public,"Biology, General.",Bachelor's Degree,78788,70073,81770
74,Auburn University,Public,"Multi-/Interdisciplinary Studies, General.",Bachelor's Degree,49480,58726,41497
75,Auburn University,Public,"Psychology, General.",Bachelor's Degree,48338,55567,45640
76,Auburn University,Public,Political Science and Government.,Bachelor's Degree,63805,61185,69918
77,Auburn University,Public,Design and Applied Arts.,Bachelor's Degree,58793,60133,57867
78,Auburn University,Public,"Pharmacy, Pharmaceutical Sciences, and Administration.",First Professional Degree,139069,145962,135837
79,Auburn University,Public,"Business Administration, Management and Operations.",Bachelor's Degree,76513,80470,62993
80,Auburn University,Public,"Business Administration, Management and Operations.",Master's Degree,145621,148533,132745
81,Auburn University,Public,Accounting and Related Services.,Bachelor's Degree,79838,78617,81587
82,Auburn University,Public,Accounting and Related Services.,Master's Degree,96671,99252,93997
83,Auburn University,Public,Finance and Financial Management Services.,Bachelor's Degree,83481,89462,66881
84,Auburn University,Public,Marketing.,Bachelor's Degree,67766,73949,64081
85,Chattahoochee Valley Community College,Public,"Liberal Arts and Sciences, General Studies and Humanities.",Associate's Degree,35374,51927,31819
86,South University-Montgomery,"Private, for-profit",Information Science/Studies.,Bachelor's Degree,67229,67229,66836
87,South University-Montgomery,"Private, for-profit","Psychology, General.",Bachelor's Degree,38844,42895,38259
88,South University-Montgomery,"Private, for-profit",Criminal Justice and Corrections.,Bachelor's Degree,47301,55113,42741
89,South University-Montgomery,"Private, for-profit",Health and Medical Administrative Services.,Bachelor's Degree,45275,61540,44756
90,South University-Montgomery,"Private, for-profit",Health and Medical Administrative Services.,Master's Degree,63788,90752,60375
91,South University-Montgomery,"Private, for-profit",Allied Health and Medical Assisting Services.,Associate's Degree,47529,55412,44655
92,South University-Montgomery,"Private, for-profit","Registered Nursing, Nursing Administration, Nursing Research and Clinical Nursing.",Bachelor's Degree,90784,104878,89683
93,South University-Montgomery,"Private, for-profit","Registered Nursing, Nursing Administration, Nursing Research and Clinical Nursing.",Master's Degree,118330,127669,116806
94,South University-Montgomery,"Private, for-profit","Business Administration, Management and Operations.",Bachelor's Degree,54466,66635,48494
95,South University-Montgomery,"Private, for-profit","Business Administration, Management and Operations.",Master's Degree,60102,72864,58077
96,Enterprise State Community College,Public,"Liberal Arts and Sciences, General Studies and Humanities.",Undergraduate Certificate or Diploma,35460,48735,29785
97,Coastal Alabama Community College,Public,"Liberal Arts and Sciences, General Studies and Humanities.",Associate's Degree,39646,46134,34819
98,Faulkner University,"Private, nonprofit",Law.,First Professional Degree,68209,70785,66531
99,Gadsden State Community College,Public,"Liberal Arts and Sciences, General Studies and Humanities.",Associate's Degree,37390,40446,36919
100,Gadsden State Community College,Public,"Registered Nursing, Nursing Administration, Nursing Research and Clinical Nursing.",Associate's Degree,68352,68663,68346
101,George C Wallace Community College-Dothan,Public,"Liberal Arts and Sciences, General Studies and Humanities.",Associate's Degree,38279,39975,37678
102,George C Wallace State Community College-Hanceville,Public,"Liberal Arts and Sciences, General Studies and Humanities.",Associate's Degree,40103,41021,36880
103,George C Wallace State Community College-Hanceville,Public,"Registered Nursing, Nursing Administration, Nursing Research and Clinical Nursing.",Associate's Degree,66490,77266,65051
104,Herzing University-Birmingham,"Private, nonprofit",Criminal Justice and Corrections.,Associate's Degree,59370,78125,30345
105,Herzing University-Birmingham,"Private, nonprofit",Criminal Justice and Corrections.,Bachelor's Degree,63953,75854,52130
106,Herzing University-Birmingham,"Private, nonprofit",Allied Health and Medical Assisting Services.,Associate's Degree,38011,58604,35657
107,Herzing University-Birmingham,"Private, nonprofit","Allied Health Diagnostic, Intervention, and Treatment Professions.",Associate's Degree,47173,68284,39957
108,Herzing University-Birmingham,"Private, nonprofit","Registered Nursing, Nursing Administration, Nursing Research and Clinical Nursing.",Associate's Degree,76115,86752,74341
